"","carat","cut","color","clarity","depth","table","price","x","y","z"
"22629",1.68,"Ideal","J","VS1",61.1,57,10681,7.64,7.7,4.69
"49903",0.71,"Ideal","I","SI1",61.9,56,2178,5.7,5.73,3.54
"23273",1.61,"Ideal","G","SI1",61.2,55,11294,7.62,7.57,4.65
"14354",1.01,"Very Good","D","SI1",61.8,58,5812,6.33,6.38,3.93
"1498",0.75,"Ideal","H","VVS2",62,55.1,2992,5.83,5.85,3.62
"13692",1.01,"Premium","F","SI1",61.9,56,5599,6.53,6.45,4.02
"45669",0.52,"Ideal","E","VS2",61.4,54,1694,5.23,5.2,3.2
"2874",0.9,"Fair","E","VS1",67.6,56,3276,5.94,5.9,4
"42847",0.41,"Premium","F","VVS1",61.3,59,1356,4.79,4.73,2.92
"38463",0.46,"Very Good","D","VS2",63.4,59,1030,4.88,4.83,3.08
"48595",0.7,"Fair","H","SI1",61,66,1995,5.68,5.64,3.45
"49840",0.71,"Ideal","F","SI2",61.6,56,2168,5.73,5.67,3.51
"6474",0.9,"Ideal","F","SI1",62.5,56,4054,6.13,6.16,3.84
"44400",0.5,"Very Good","E","VS2",62.9,56,1584,5.06,5.11,3.2
"25330",1.59,"Ideal","H","VS1",61.8,56,14031,7.49,7.53,4.64
"6120",1.01,"Premium","G","SI2",60.6,59,3981,6.49,6.41,3.91
"44604",0.53,"Premium","G","VS2",62.5,56,1607,5.19,5.18,3.24
"9889",1.03,"Ideal","F","SI2",61.6,55,4683,6.46,6.49,3.99
"6706",0.3,"Ideal","J","VS1",62,57,411,4.28,4.3,2.66
"3165",0.64,"Ideal","F","VVS2",61,56,3336,5.55,5.59,3.4
"21748",1.52,"Very Good","D","SI2",58.6,59,9817,7.43,7.48,4.37
"39351",0.52,"Good","I","SI1",63.6,60,1073,5.1,5.05,3.23
"49612",0.7,"Ideal","H","SI1",61.2,58,2138,5.74,5.77,3.52
"43120",0.52,"Premium","D","SI2",61.7,56,1385,5.17,5.14,3.18
"13320",1.01,"Very Good","E","SI1",62.9,58,5499,6.35,6.41,4.01
"46029",0.57,"Premium","I","VVS1",62.1,58,1728,5.32,5.25,3.28
"19830",1.7,"Premium","F","SI2",60.2,61,8397,7.79,7.68,4.66
"25250",1.58,"Very Good","D","SI1",62.7,60,13869,7.37,7.41,4.63
"35720",0.3,"Premium","D","VS2",60.4,59,911,4.35,4.32,2.62
"27444",2.11,"Very Good","F","SI2",63.5,55,18071,8.08,8.13,5.15
"11077",0.91,"Ideal","G","SI1",60.8,58,4922,6.21,6.29,3.8
"20658",1.05,"Ideal","G","VVS1",60.7,55,8946,6.6,6.65,4.02
"10434",1.01,"Ideal","D","SI2",62.6,56,4785,6.34,6.4,3.99
"41504",0.51,"Fair","H","VS1",55.5,64,1234,5.44,5.4,3.01
"24784",1.51,"Good","G","VVS2",63.8,59,13155,7.24,7.28,4.63
"14529",1.1,"Ideal","I","VS1",62.3,55,5864,6.64,6.6,4.12
"3759",0.75,"Ideal","D","VS2",62.4,55,3456,5.83,5.8,3.63
"46553",0.51,"Ideal","E","VS2",62.6,55,1781,5.11,5.08,3.19
"46160",0.5,"Ideal","E","VS2",60,57,1746,5.15,5.12,3.08
"41957",0.23,"Very Good","E","VVS2",61.2,60,505,3.97,4,2.44
"44013",0.51,"Premium","G","VS2",62.4,57,1546,5.11,5.09,3.18
"1186",0.7,"Very Good","G","VVS2",60.8,57,2931,5.72,5.76,3.49
"9037",0.36,"Ideal","H","VS2",61,55,587,4.59,4.62,2.81
"8673",1.02,"Fair","H","VS1",71.8,56,4455,6.04,5.97,4.31
"20046",0.4,"Ideal","D","SI2",62,55,625,4.71,4.77,2.94
"48461",0.5,"Good","G","IF",64,55,1976,5.05,5.08,3.24
"19285",1.11,"Very Good","D","VS2",63.2,57,8006,6.64,6.61,4.18
"27053",0.31,"Ideal","H","VS2",61.4,56,646,4.38,4.42,2.7
"30414",0.32,"Ideal","G","VVS2",61.3,56,730,4.43,4.44,2.72
"17195",1,"Premium","D","VS2",59.6,60,6868,6.57,6.52,3.9
"7789",0.9,"Very Good","E","SI1",62.9,56,4286,6.09,6.12,3.84
"43337",0.55,"Good","E","SI1",63.1,58,1406,5.2,5.23,3.29
"53679",0.56,"Ideal","E","VVS2",61.7,56,2712,5.31,5.33,3.28
"32268",0.3,"Ideal","E","VVS2",61.7,55,789,4.28,4.31,2.65
"10665",1.2,"Fair","J","SI1",65.2,58,4838,6.67,6.58,4.32
"53398",0.83,"Ideal","H","SI2",61.1,59,2666,6.05,6.1,3.71
"28459",0.32,"Very Good","G","VVS2",62.6,54,672,4.37,4.39,2.74
"25841",1.51,"Ideal","E","VS2",61.2,57,14889,7.37,7.47,4.54
"49782",0.61,"Ideal","E","VS1",61.6,57,2161,5.42,5.45,3.35
"40648",0.5,"Very Good","E","SI2",62.4,57,1154,5.03,5.07,3.15
"28945",0.3,"Good","H","VVS1",63.4,57,684,4.27,4.31,2.72
"14218",1.23,"Ideal","J","VS2",61.7,57,5763,6.87,6.8,4.22
"29621",0.23,"Good","E","VVS1",59.9,65,439,3.93,3.95,2.36
"43960",0.31,"Ideal","F","SI1",62.3,56,516,4.32,4.35,2.7
"18536",1.51,"Premium","J","VS2",59.6,60,7553,7.58,7.48,4.49
"36416",0.31,"Premium","E","VS1",61.9,58,942,4.32,4.31,2.67
"39299",0.3,"Ideal","I","VS1",62,58,491,4.28,4.3,2.66
"31164",0.41,"Very Good","E","SI1",61.4,56,755,4.77,4.81,2.94
"25913",2,"Very Good","I","SI1",59.8,59,15053,8.12,8.17,4.87
"3962",1.01,"Premium","H","SI2",62,60,3507,6.39,6.25,3.92
"45097",0.54,"Ideal","I","IF",61.6,53,1647,5.26,5.3,3.25
"33277",0.28,"Ideal","H","VS1",62.2,54,462,4.19,4.23,2.62
"27808",0.23,"Ideal","F","VVS2",61.6,54,650,3.97,3.99,2.45
"48698",0.71,"Very Good","I","SI1",62.9,59,2008,5.66,5.7,3.57
"40602",0.23,"Very Good","F","VVS2",61.7,55,498,3.99,4.05,2.48
"32171",0.37,"Premium","G","VVS2",62.2,58,787,4.56,4.6,2.85
"35169",0.31,"Ideal","G","IF",62.2,55,891,4.35,4.4,2.72
"22458",1.21,"Ideal","G","VVS1",61.4,58,10483,6.85,6.89,4.22
"38238",0.41,"Very Good","D","VS1",61.7,58,1018,4.76,4.8,2.95
"23039",0.33,"Ideal","D","SI2",62,57,631,4.46,4.45,2.76
"385",1,"Fair","J","VS2",65.7,59,2811,6.14,6.07,4.01
"38909",0.33,"Ideal","E","VVS1",61.5,57,1052,4.47,4.44,2.74
"14573",1,"Very Good","H","VS2",64.7,56,5883,6.23,6.29,4.05
"17380",0.34,"Premium","E","SI2",59.9,59,612,4.57,4.55,2.73
"44678",0.71,"Premium","J","SI2",60.7,59,1609,5.75,5.71,3.48
"42578",0.62,"Premium","F","SI2",61.7,60,1329,5.48,5.45,3.37
"48305",0.27,"Ideal","I","VS2",62.1,56,534,4.14,4.18,2.58
"29605",0.35,"Ideal","F","VS2",62.5,57,706,4.5,4.53,2.82
"48443",0.51,"Ideal","G","VVS2",62.9,57,1974,5.12,5.09,3.21
"8885",1.04,"Ideal","F","SI2",62.4,56,4486,6.4,6.48,4.02
"41045",0.54,"Ideal","G","SI1",61.7,55,1187,5.24,5.27,3.24
"2928",1.03,"Very Good","H","SI2",63.1,56,3288,6.43,6.38,4.04
"24435",2.54,"Ideal","I","SI2",61.4,54,12687,8.83,8.78,5.41
"7083",1.04,"Premium","E","SI2",61.6,59,4164,6.55,6.57,4.04
"23932",1.54,"Ideal","H","VVS2",62.6,56,12061,7.35,7.42,4.62
"46539",0.51,"Ideal","E","VS2",60.4,57,1781,5.18,5.15,3.12
"45038",0.51,"Very Good","E","VS2",63.3,55,1638,5.12,5.09,3.23
"10263",1.01,"Ideal","E","SI2",61.2,54,4751,6.52,6.49,3.98
"10950",1.03,"Ideal","G","SI1",60.9,57,4900,6.54,6.5,3.97
"10732",0.33,"Premium","I","VS2",61,61,594,4.46,4.43,2.71
"7591",0.91,"Fair","E","SI1",65,62,4256,6.09,6.04,3.94
"52982",0.71,"Very Good","H","VVS2",62.5,56,2594,5.65,5.68,3.54
"43859",0.71,"Very Good","F","I1",63.2,55,1448,5.64,5.57,3.54
"39508",0.4,"Good","D","VVS2",60.8,62,1080,4.74,4.77,2.89
"45800",0.51,"Premium","G","VS1",60.2,57,1709,5.24,5.2,3.14
"49654",0.82,"Good","J","SI1",57.5,62,2140,6.25,6.2,3.58
"39455",0.57,"Ideal","H","SI2",62.3,56,1077,5.31,5.28,3.3
"20381",0.31,"Premium","F","VS2",62.3,59,625,4.3,4.33,2.69
"18323",1,"Very Good","E","VS1",63,56,7453,6.39,6.41,4.03
"7346",1.14,"Ideal","J","SI2",61.5,57,4212,6.73,6.77,4.15
"628",0.73,"Premium","F","VS2",60.3,59,2841,5.9,5.87,3.55
"34198",0.33,"Ideal","F","VS2",62.1,54,854,4.46,4.43,2.76
"39643",0.4,"Ideal","F","VVS2",62,56,1085,4.76,4.73,2.94
"43723",0.51,"Ideal","E","SI1",61.3,55,1438,5.11,5.17,3.15
"8647",1,"Premium","F","SI2",61.3,61,4452,6.39,6.36,3.91
"35898",0.32,"Ideal","G","IF",61.2,55,918,4.41,4.44,2.71
"20099",1.51,"Ideal","I","SI1",62.8,54,8574,7.31,7.27,4.58
"47433",0.65,"Premium","F","VS2",59,62,1853,5.68,5.65,3.34
"19169",1.25,"Premium","D","SI1",62.4,58,7924,6.89,6.83,4.28
"20110",1.5,"Ideal","G","SI2",62,57,8580,7.26,7.31,4.52
"18626",1.16,"Ideal","G","VS2",62.2,55,7600,6.78,6.75,4.21
"49510",0.73,"Ideal","J","VS1",62,53,2121,5.78,5.82,3.6
"37805",0.35,"Very Good","G","IF",60.5,56,1001,4.56,4.6,2.77
"17228",1.5,"Premium","I","SI1",62.3,58,6888,7.33,7.22,4.53
"53691",0.82,"Premium","I","VS2",62.2,59,2716,6.03,5.97,3.73
"18036",0.35,"Ideal","E","SI1",62.3,56,614,4.53,4.56,2.83
"28721",0.31,"Ideal","E","VS2",61.8,55,680,4.35,4.39,2.7
"4819",0.91,"Very Good","E","SI2",62.8,61,3703,6.07,6.09,3.82
"20087",1.2,"Good","E","VS2",61.8,61,8563,6.69,6.71,4.14
"44864",0.51,"Very Good","H","VS1",60.7,56,1628,5.16,5.2,3.15
"14948",1.01,"Ideal","G","VS2",60.8,59,6019,6.52,6.5,3.96
"11960",1.16,"Premium","D","SI2",62.5,60,5136,6.7,6.64,4.17
"43474",0.41,"Ideal","E","IF",62.1,54,1419,4.75,4.81,2.97
"44717",0.61,"Premium","I","VS1",60,61,1614,5.53,5.5,3.31
"28576",0.3,"Very Good","H","VS1",63.1,57,675,4.26,4.24,2.68
"37288",0.24,"Very Good","E","VVS2",63.3,57,485,3.95,3.98,2.51
"34623",0.31,"Premium","E","VS2",60.6,59,872,4.39,4.36,2.65
"30864",0.33,"Premium","G","VS2",61.3,59,743,4.46,4.44,2.73
"987",0.53,"Ideal","F","VVS1",61.6,56,2896,5.18,5.24,3.21
"6984",1.01,"Premium","G","SI2",60.1,59,4154,6.45,6.39,3.86
"46669",0.71,"Good","I","SI1",62.6,63,1788,5.54,5.61,3.49
"31854",0.3,"Ideal","H","VVS2",61.2,57,776,4.32,4.31,2.64
"42085",0.55,"Premium","E","SI2",61.9,58,1273,5.24,5.2,3.23
"8866",0.92,"Fair","E","SI1",66.8,55,4482,6.04,5.99,4.02
"21016",1.6,"Premium","F","SI2",61.1,58,9229,7.57,7.53,4.61
"43367",0.43,"Ideal","G","VVS2",60.9,57,1408,4.86,4.89,2.97
"33252",0.45,"Ideal","I","VS1",62.1,55,825,4.9,4.92,3.05
"48687",0.77,"Fair","J","VS1",61.2,66,2005,5.92,5.83,3.6
"14889",1.21,"Ideal","F","SI2",61.8,57,5996,6.82,6.87,4.23
"3049",0.27,"Very Good","G","VVS1",62.9,55,566,4.13,4.15,2.6
"10586",1.01,"Very Good","D","SI1",62.7,58,4821,6.34,6.38,3.99
"27964",0.3,"Very Good","E","VS2",62.8,59,658,4.24,4.26,2.67
"8817",1.16,"Premium","F","SI2",61.9,59,4476,6.71,6.66,4.14
"17638",1.51,"Ideal","G","SI2",61.8,57,7103,7.37,7.31,4.54
"5540",0.91,"Fair","D","SI1",64.4,60,3855,6.08,6.04,3.9
"22038",0.31,"Ideal","I","VS1",61.6,55,628,4.36,4.34,2.68
"40691",0.38,"Very Good","E","VVS2",59.7,63,1157,4.71,4.73,2.82
"19754",1.06,"Premium","G","VVS1",61.1,58,8319,6.57,6.53,4
"21163",1.53,"Premium","J","VVS1",61.6,58,9322,7.4,7.37,4.55
"22699",0.35,"Premium","H","SI1",61,62,630,4.56,4.52,2.77
"53397",0.72,"Premium","E","SI1",61.3,58,2666,5.81,5.78,3.55
"21856",1.19,"Ideal","G","VS1",62.4,54,9918,6.78,6.81,4.24
"1707",0.74,"Premium","D","SI1",62.4,59,3036,5.73,5.8,3.6
"10411",1.06,"Ideal","G","SI2",62.2,56,4778,6.55,6.48,4.05
"28382",0.33,"Very Good","I","VS1",63.2,57,668,4.4,4.37,2.77
"52675",0.72,"Premium","G","VS2",61.4,57,2550,5.83,5.77,3.56
"24501",1.51,"Very Good","E","VS2",62.7,59,12779,7.2,7.32,4.55
"34285",0.26,"Ideal","H","IF",61.1,57,468,4.12,4.16,2.53
"53628",0.3,"Very Good","D","SI1",61.3,60,552,4.26,4.32,2.63
"42479",0.43,"Ideal","G","IF",62.5,54,1318,4.83,4.86,3.03
"26246",2.03,"Very Good","E","SI2",63,61,15690,7.99,8.04,5.05
"24568",2.03,"Premium","J","SI1",62.1,59,12862,8.06,8.12,5.02
"11480",0.92,"Ideal","E","SI1",61.7,57,5014,6.24,6.27,3.86
"4798",0.77,"Ideal","E","VS1",62,56,3697,5.87,5.9,3.65
"47166",0.46,"Ideal","E","VS1",61.9,55,1834,4.94,4.97,3.06
"52257",0.71,"Very Good","E","SI1",58.7,61,2489,5.83,5.86,3.43
"24864",2.5,"Fair","H","SI2",64.9,58,13278,8.46,8.43,5.48
"4590",1.01,"Good","J","VS2",62.8,58,3655,6.3,6.35,3.97
"12546",1.23,"Premium","I","SI2",62.5,60,5269,6.82,6.75,4.24
"3801",1,"Ideal","J","SI2",62.1,56,3465,6.34,6.41,3.96
"36839",0.37,"Premium","G","VS1",61.4,58,957,4.61,4.58,2.82
"43311",0.51,"Premium","F","VS2",60.7,59,1402,5.16,5.19,3.14
"44222",0.57,"Premium","F","SI1",62.7,59,1571,5.3,5.26,3.31
"3076",1.24,"Ideal","I","SI2",62.5,57,3312,6.89,6.84,4.29
"15837",1.01,"Premium","E","VS2",62.9,58,6335,6.47,6.37,4.04
"48928",0.55,"Ideal","G","VVS1",62,55,2042,5.25,5.27,3.26
"52811",0.71,"Premium","I","VVS1",63,58,2572,5.68,5.66,3.57
"28352",0.31,"Very Good","F","VS2",61.4,58.4,667,4.37,4.4,2.69
"22504",1.59,"Premium","H","SI1",60.6,60,10542,7.59,7.53,4.58
"24160",2.01,"Ideal","I","SI2",62.1,57,12338,8.07,8.03,5
"38808",0.31,"Premium","G","VVS1",61.2,59,1046,4.34,4.32,2.65
"6486",1.04,"Ideal","J","SI1",60.8,57,4059,6.54,6.59,3.99
"48777",0.55,"Ideal","D","VS1",61.5,56,2020,5.28,5.26,3.24
"25996",2.04,"Premium","G","SI1",60.7,62,15217,8.3,8.15,4.96
"22010",1.6,"Very Good","H","SI1",63.1,58,10078,7.45,7.39,4.68
"40057",0.57,"Ideal","J","VS2",62.5,54,1113,5.32,5.34,3.33
"12845",1.25,"Ideal","G","SI2",61.6,57,5355,6.98,6.91,4.28
"48144",0.77,"Premium","J","VS2",62.1,62,1940,5.87,5.82,3.63
"28661",0.39,"Ideal","E","SI1",62,56,676,4.72,4.65,2.91
"34674",0.41,"Very Good","H","VVS2",62,56,873,4.77,4.81,2.97
"34422",0.3,"Ideal","G","IF",62.3,54,863,4.32,4.35,2.7
"10431",1.14,"Very Good","I","VS2",62.5,59,4785,6.63,6.66,4.15
"26501",2.1,"Premium","G","SI2",60.9,57.4,16112,8.17,8.27,5
"31338",0.44,"Premium","H","SI2",59.3,60,759,5.01,4.98,2.96
"19915",1.51,"Very Good","F","SI2",63.2,60,8462,7.2,7.27,4.57
"9256",1.16,"Ideal","I","SI2",62.6,56,4560,6.73,6.68,4.2
"31241",0.31,"Ideal","F","VS2",61.6,55,757,4.36,4.38,2.69
"45817",0.5,"Ideal","D","VS2",61.9,59,1712,5.07,5.1,3.15
"17984",1.06,"Premium","E","VS2",61.3,58,7275,6.52,6.56,4.01
"5284",0.71,"Very Good","D","VVS2",62.3,60,3799,5.65,5.71,3.54
"25983",1.2,"Ideal","E","VVS1",60.1,61,15185,6.83,6.91,4.13
"35619",0.37,"Good","I","VS2",64,56,473,4.58,4.45,2.89
"41",0.33,"Ideal","I","SI2",61.2,56,403,4.49,4.5,2.75
"28183",0.37,"Ideal","I","VS2",61.7,57,666,4.64,4.6,2.85
"36481",0.43,"Very Good","G","VS1",60.9,57,943,4.88,4.91,2.98
"29613",0.27,"Very Good","G","VS1",61.9,56,439,4.14,4.17,2.57
"50584",0.7,"Very Good","G","SI1",62.7,55,2281,5.63,5.66,3.54
"52950",0.84,"Ideal","H","SI2",59.9,59,2593,6.13,6.2,3.69
"22949",1.06,"Ideal","F","IF",61,57,10995,6.55,6.64,4.02
"38539",0.34,"Premium","D","VS2",59.3,58,1033,4.55,4.52,2.69
"24004",2,"Premium","H","SI2",62.7,58,12168,8.06,8.01,5.04
"2871",1,"Very Good","I","SI2",60.8,63,3276,6.41,6.34,3.88
"843",0.79,"Premium","E","SI2",61,58,2868,5.96,5.9,3.62
"47351",0.5,"Premium","D","VS2",61.9,58,1845,5.1,5.04,3.14
"38097",0.36,"Premium","E","VS2",59.3,59,1013,4.68,4.6,2.75
"46867",0.53,"Ideal","G","VS1",61.9,56,1813,5.2,5.17,3.21
"11804",1.02,"Premium","F","SI1",62.2,58,5089,6.4,6.46,4
"19924",1.56,"Very Good","I","SI1",60.2,61,8470,7.5,7.59,4.54
"35622",0.3,"Premium","I","VS1",61.6,60,473,4.27,4.3,2.64
"25328",2.02,"Good","I","SI2",58.2,57,14027,8.31,8.35,4.85
"15523",1.01,"Premium","G","VS1",62.7,58,6221,6.31,6.36,3.97
"20705",0.31,"Ideal","H","VVS2",62.3,55,625,4.36,4.37,2.72
"16720",0.31,"Very Good","E","VS1",64,55,610,4.29,4.33,2.76
"11149",1.11,"Ideal","F","SI2",61.7,55,4942,6.66,6.63,4.1
"8798",1.01,"Very Good","D","SI2",63.4,57,4472,6.4,6.31,4.03
"33510",0.4,"Very Good","J","IF",62.2,61,828,4.68,4.71,2.92
"22999",1.13,"Ideal","F","VVS1",61.7,56,11051,6.68,6.75,4.14
"34227",0.4,"Premium","H","SI1",62.7,58,855,4.69,4.65,2.93
"5135",1,"Premium","E","SI2",60.7,58,3763,6.45,6.38,3.9
"12591",1.04,"Good","E","SI1",63.5,56,5285,6.37,6.41,4.06
"50284",0.37,"Very Good","E","SI2",61.9,55,541,4.63,4.67,2.87
"29641",0.35,"Ideal","F","VS2",61.5,57,706,4.52,4.56,2.79
"34251",0.38,"Ideal","G","SI1",60.9,56,855,4.71,4.68,2.86
"34962",0.32,"Ideal","I","VS1",62.1,57,471,4.37,4.42,2.73
"4418",1.01,"Good","E","SI2",63.9,58,3611,6.37,6.31,4.05
"40055",0.38,"Premium","E","VS2",61.8,58,1112,4.64,4.61,2.86
"42480",0.43,"Ideal","G","IF",62.4,54,1318,4.84,4.87,3.03
"3580",0.93,"Very Good","F","SI2",63.5,58,3420,6.14,6.05,3.87
"42741",0.51,"Very Good","E","SI1",61,58,1343,5.1,5.13,3.12
"16652",1.03,"Ideal","G","VS1",63,56,6659,6.46,6.43,4.06
"45853",0.56,"Ideal","H","VS1",61.1,57,1715,5.31,5.34,3.25
"17668",1.01,"Ideal","F","VS1",62.2,57,7122,6.38,6.48,4
"38086",0.3,"Ideal","E","VVS2",61.8,56,1013,4.35,4.33,2.68
"12160",1.08,"Ideal","D","SI2",59.1,60,5177,6.7,6.76,3.98
"24903",1.5,"Premium","F","VS2",62.4,57,13333,7.38,7.29,4.58
"53070",0.75,"Ideal","E","SI2",61.7,55,2609,5.9,5.86,3.63
"46845",0.64,"Premium","E","SI1",61.3,58,1811,5.57,5.53,3.4
"6270",1.04,"Ideal","I","VS2",62.9,56,4013,6.5,6.41,4.06
"41781",0.57,"Premium","H","SI1",61.6,58,1247,5.37,5.34,3.3
"39451",0.5,"Very Good","E","SI2",62.8,55,1077,5.05,5.08,3.18
"38569",0.42,"Ideal","H","VVS1",61.8,55,1035,4.85,4.8,2.98
"24619",1.51,"Ideal","G","VS2",62.2,57,12947,7.28,7.36,4.55
"50060",0.57,"Ideal","E","VS2",61,54,2202,5.39,5.43,3.3
"25890",1.5,"Very Good","G","VVS2",62.9,56,15013,7.22,7.32,4.57
"10292",1,"Premium","D","SI2",61.6,60,4758,6.37,6.33,3.91
"37724",0.34,"Premium","G","VVS2",61.6,58,995,4.49,4.44,2.75
"52209",0.61,"Very Good","D","VS1",60.9,56,2481,5.49,5.51,3.35
"50970",0.72,"Very Good","I","VS2",62.1,57.5,2326,5.72,5.74,3.57
"52245",0.8,"Very Good","H","SI2",57,63,2487,6.09,6.18,3.5
"38447",0.36,"Ideal","F","VVS1",61,55,1028,4.6,4.62,2.81
"22606",1.79,"Ideal","J","VS2",61.8,56,10658,7.74,7.85,4.82
"34146",0.33,"Ideal","H","VVS2",62.2,56,854,4.46,4.44,2.77
"5617",1.12,"Ideal","G","I1",60.3,57,3874,6.73,6.8,4.08
"10136",1,"Ideal","F","SI2",62.7,57,4721,6.37,6.42,4.01
"17745",1.56,"Premium","J","VS1",61.3,59,7144,7.54,7.49,4.61
"50359",0.72,"Premium","G","SI1",60.6,59,2246,5.8,5.76,3.5
"28407",0.35,"Premium","G","SI1",60.3,60,669,4.59,4.57,2.76
"44163",0.5,"Very Good","D","VS2",61.1,58,1565,5.09,5.18,3.14
"19590",1.4,"Fair","F","VS2",66.5,56,8216,6.83,6.76,4.52
"27666",2.05,"Ideal","H","VS2",61.6,57,18659,8.2,8.14,5.03
"44576",0.53,"Ideal","G","VS1",61.7,55,1607,5.18,5.22,3.21
"24575",1.51,"Premium","G","VS2",62.7,58,12872,7.31,7.2,4.55
"1908",1,"Premium","H","SI2",59.4,60,3080,6.49,6.4,3.83
"38616",0.3,"Very Good","F","SI1",58.4,59,489,4.42,4.45,2.59
"13416",1.2,"Premium","H","SI2",62.4,57,5510,6.83,6.75,4.24
"3001",0.7,"Ideal","G","VVS1",60.7,57,3303,5.73,5.76,3.49
"36400",0.31,"Ideal","E","VS1",61.8,56,942,4.37,4.34,2.69
"25471",2.02,"Premium","I","VS1",60.5,62,14238,8.18,8.15,4.94
"19469",1.34,"Good","H","VS2",59.1,60,8109,7.15,7.19,4.24
"47362",0.54,"Ideal","H","VVS1",61.8,55,1846,5.21,5.24,3.23
"7087",0.9,"Very Good","E","SI1",59.8,58,4165,6.21,6.26,3.73
"24297",1.51,"Ideal","F","SI1",62.8,57,12545,7.28,7.33,4.59
"19151",1.67,"Very Good","J","SI1",62.3,59,7911,7.59,7.63,4.74
"18607",1,"Very Good","G","VVS2",63.1,58,7589,6.37,6.33,4.01
"49595",0.71,"Ideal","G","SI1",61.4,57,2136,5.76,5.8,3.55
"28952",0.31,"Good","I","VS2",63.1,54,435,4.31,4.34,2.73
"30471",0.31,"Very Good","D","SI1",63.5,57,732,4.32,4.28,2.73
"44442",0.57,"Premium","E","SI1",62.2,55,1590,5.36,5.31,3.32
"12645",1.01,"Premium","H","VS1",61.2,61,5294,6.44,6.41,3.93
"23335",2.03,"Ideal","H","SI2",61.9,57,11379,8.14,8.1,5.03
"24163",1.8,"Premium","D","SI1",61.2,58,12338,7.88,7.7,4.79
"26804",2.39,"Premium","H","SI1",60.6,58,16687,8.65,8.58,5.22
"534",0.9,"Very Good","I","SI2",63.5,56,2826,6.17,6.07,3.88
"33016",0.31,"Good","F","VS1",56.7,60,814,4.57,4.5,2.57
"4555",0.81,"Very Good","E","SI1",61.9,60,3643,5.87,5.95,3.66
"53896",0.7,"Good","F","VS1",57.8,61,2751,5.83,5.79,3.36
"12590",1.11,"Premium","F","SI2",62.2,57,5284,6.67,6.61,4.13
"19774",1.52,"Premium","F","SI2",62.3,59,8342,7.37,7.33,4.58
"14523",1,"Good","F","VS2",64,59,5864,6.29,6.25,4.03
"51194",0.7,"Premium","E","SI1",60.1,58,2349,5.81,5.83,3.5
"15778",1.11,"Very Good","G","VS2",62.3,58,6311,6.59,6.61,4.11
"8859",1.08,"Very Good","H","SI2",63,59,4481,6.51,6.54,4.11
"53690",0.55,"Ideal","F","VVS1",60.6,57,2716,5.33,5.36,3.24
"38012",0.42,"Very Good","D","VS1",60.6,58,1009,4.87,4.9,2.96
"28680",0.24,"Ideal","E","VVS1",61.4,57,678,3.99,4.03,2.46
"12067",1,"Premium","G","SI1",61.9,62,5154,6.22,6.18,3.84
"28087",0.3,"Very Good","D","SI1",63.1,56,662,4.28,4.24,2.69
"48413",0.6,"Ideal","F","VS2",61.9,57,1970,5.39,5.43,3.35
"23745",1.36,"Ideal","D","VS2",62.1,55,11793,7.18,7.13,4.44
"42754",0.56,"Ideal","I","SI1",61.3,56,1343,5.28,5.31,3.25
"53055",0.76,"Ideal","F","SI1",60.1,57,2607,5.95,5.99,3.59
"3447",1,"Fair","F","SI1",68.7,55,3387,6.06,5.88,4.11
"47419",0.57,"Premium","G","VS1",62.4,58,1851,5.29,5.32,3.31
"48839",0.55,"Premium","D","VS2",61.3,60,2030,5.29,5.28,3.24
"28286",0.33,"Ideal","J","SI2",62.4,54,366,4.43,4.45,2.77
"4665",0.71,"Very Good","D","VVS2",62.7,59,3670,5.64,5.69,3.55
"31443",0.3,"Ideal","I","VVS2",63,57,765,4.27,4.24,2.68
"8087",0.72,"Very Good","E","VVS1",60.8,58,4339,5.79,5.83,3.53
"16549",1.27,"Premium","I","VS1",59.5,61,6611,7.08,7.04,4.2
"50663",0.31,"Ideal","G","VS2",61.7,55,544,4.35,4.37,2.69
"28769",0.31,"Premium","E","VS2",61,59,680,4.35,4.37,2.66
"50511",0.7,"Good","I","VS1",64.3,58,2271,5.56,5.61,3.59
"11482",1.21,"Very Good","I","SI2",63.2,57,5014,6.7,6.66,4.22
"31773",0.32,"Premium","F","VS2",59.7,62,773,4.43,4.38,2.63
"26622",1.71,"Ideal","F","VS2",61.9,57,16384,7.73,7.62,4.75
"3395",0.27,"Very Good","F","IF",59.4,61,567,4.23,4.26,2.52
"32968",0.32,"Good","H","SI1",63.1,58,461,4.33,4.36,2.74
"12297",1.21,"Premium","H","SI2",60.9,61,5218,6.88,6.82,4.17
"8460",1.02,"Good","E","SI2",64.2,59,4414,6.26,6.2,4
"7367",0.96,"Very Good","F","SI2",59.8,59,4218,6.38,6.45,3.84
"42868",0.43,"Ideal","F","VVS1",62.3,55,1358,4.85,4.88,3.03
"2663",0.7,"Ideal","H","VVS2",62.2,55,3235,5.71,5.76,3.57
"25206",1.24,"Ideal","D","VVS2",62.6,55,13803,6.89,6.94,4.33
"26973",2.09,"Ideal","G","VS2",61.8,57,17051,8.24,8.17,5.07
"50634",0.23,"Very Good","E","VS2",60.8,58,402,3.97,4.05,2.44
"47106",0.61,"Premium","H","VVS2",62.4,59,1827,5.4,5.43,3.38
"45653",0.38,"Ideal","J","SI1",61.8,54,525,4.68,4.7,2.9
"21543",1.5,"Premium","G","SI1",61.2,58,9645,7.34,7.44,4.52
